#visualizingenergy.org
#Contact: vizen@bu.edu
#
#Title: Shared prosperity and energy use per capita 2015-2020
#Time span: 2015-2020
#----------------------------------------------------------------
#Variable: The annualized growth rate in the average consumption or income per capita of the poorest 40 percent (the bottom 40) of the population in a country.
#Source: World Bank; "Shared Prosperity: Monitoring Inclusive Growth"
#Source link: https://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity
#Data accessed: 2024-04-15
#----------------------------------------------------------------
#Variable: Energy use per capita (GJ/person)
#Source: Hannah Ritchie; Max Roser and Pablo Rosado (2022) - "Energy". Published online at OurWorldInData.org. Retrieved from: https://ourworldindata.org/energy [Online Resource]
#Source link: https://ourworldindata.org/energy
#Data accessed: 2023-09-15#Description: Data for energy use per capita downloaded from Our World In Data (OWID) chart titled "Energy use per person; 2022." Our World In Data (OWID) reports primary
 energy consumption in terawatthours (TWh). Conversion factor: 1 terawatthour = 0.0036 exajoule. Primary energy is the raw; untransformed energy that is harvested from a 
natural source. In energy accounting; primary energy is the form that is first accounted for in a statistical energy balance; before any transformation to secondary or 
tertiary forms of energy. OWID's principal sources are the Energy Institute Statistical Review of World Energy (2023) and the U.S. Energy Information Administration's 
international datasets (see links below). See the OWID source for their complete methodology for combining sources. Countries are grouped by continent using the World 
Bank's classification system
#Additional links: Energy Institute: 2023 Statistical Review of World Energy: https://www.energyinst.org/statistical-review;EIA: https://www.eia.gov/international/data/worldl;World Bank classification system: https://datahelpdesk.worldbank.org/knowledgebase/articles/906519-world-bank-country-and-lending-groupsl;Energy conversion: https://www.onlineconversion.com/energy.htm
#================================================================
﻿Entity,Continent,Year,Energy use per capita (GJ),Annualized growth of energy use per capita (%),Annualized growth in mean consumption or income per capita bottom 40
Argentina,South America,2015,82.9687428,-3.472215034,-2.189764261
Argentina,South America,2016,81.815238,-3.472215034,-2.189764261
Argentina,South America,2017,81.0137448,-3.472215034,-2.189764261
Argentina,South America,2018,79.787376,-3.472215034,-2.189764261
Argentina,South America,2019,74.6106048,-3.472215034,-2.189764261
Argentina,South America,2020,69.5306376,-3.472215034,-2.189764261
Armenia,Europe,2015,50.8498092,3.879763916,1.262777328
Armenia,Europe,2016,51.4405656,3.879763916,1.262777328
Armenia,Europe,2017,55.0887804,3.879763916,1.262777328
Armenia,Europe,2018,54.4823352,3.879763916,1.262777328
Armenia,Europe,2019,58.2447456,3.879763916,1.262777328
Armenia,Europe,2020,61.5097692,3.879763916,1.262777328
Australia,Oceania,2015,242.045748,-1.66332186,-0.490280181
Australia,Oceania,2016,239.065524,-1.66332186,-0.490280181
Australia,Oceania,2017,234.5267376,-1.66332186,-0.490280181
Australia,Oceania,2018,234.2616048,-1.66332186,-0.490280181
Australia,Oceania,2019,238.548744,-1.66332186,-0.490280181
Australia,Oceania,2020,222.574356,-1.66332186,-0.490280181
Austria,Europe,2015,164.472426,-0.289950287,1.613310814
Austria,Europe,2016,168.115626,-0.289950287,1.613310814
Austria,Europe,2017,170.7229692,-0.289950287,1.613310814
Austria,Europe,2018,166.2715548,-0.289950287,1.613310814
Austria,Europe,2019,173.9313288,-0.289950287,1.613310814
Austria,Europe,2020,162.101772,-0.289950287,1.613310814
Belarus,Europe,2015,99.097776,1.577913967,3.317278862
Belarus,Europe,2016,101.1763188,1.577913967,3.317278862
Belarus,Europe,2017,103.0429116,1.577913967,3.317278862
Belarus,Europe,2018,114.0839928,1.577913967,3.317278862
Belarus,Europe,2019,114.9243696,1.577913967,3.317278862
Belarus,Europe,2020,107.1668232,1.577913967,3.317278862
Belgium,Europe,2015,210.4133472,-0.349553818,2.204133034
Belgium,Europe,2016,225.6986376,-0.349553818,2.204133034
Belgium,Europe,2017,226.429668,-0.349553818,2.204133034
Belgium,Europe,2018,224.585478,-0.349553818,2.204133034
Belgium,Europe,2019,230.948136,-0.349553818,2.204133034
Belgium,Europe,2020,206.761428,-0.349553818,2.204133034
Bolivia,South America,2015,28.86716772,-3.993133941,4.422741413
Bolivia,South America,2016,29.436606,-3.993133941,4.422741413
Bolivia,South America,2017,28.57788972,-3.993133941,4.422741413
Bolivia,South America,2018,29.11803228,-3.993133941,4.422741413
Bolivia,South America,2019,28.451232,-3.993133941,4.422741413
Bolivia,South America,2020,23.5459188,-3.993133941,4.422741413
Brazil,South America,2015,61.70454,-1.464453691,-0.847576261
Brazil,South America,2016,59.7303504,-1.464453691,-0.847576261
Brazil,South America,2017,59.7912696,-1.464453691,-0.847576261
Brazil,South America,2018,59.540796,-1.464453691,-0.847576261
Brazil,South America,2019,60.055002,-1.464453691,-0.847576261
Brazil,South America,2020,57.3167772,-1.464453691,-0.847576261
Bulgaria,Europe,2015,110.6610048,-1.853646952,10.13057613
Bulgaria,Europe,2016,105.88248,-1.853646952,10.13057613
Bulgaria,Europe,2017,109.3541004,-1.853646952,10.13057613
Bulgaria,Europe,2018,110.678238,-1.853646952,10.13057613
Bulgaria,Europe,2019,107.9856972,-1.853646952,10.13057613
Bulgaria,Europe,2020,100.777932,-1.853646952,10.13057613
Canada,North America,2015,406.410336,-2.299134108,1.609604955
Canada,North America,2016,396.650844,-2.299134108,1.609604955
Canada,North America,2017,397.8345096,-2.299134108,1.609604955
Canada,North America,2018,396.213408,-2.299134108,1.609604955
Canada,North America,2019,388.730736,-2.299134108,1.609604955
Canada,North America,2020,361.790208,-2.299134108,1.609604955
Chile,South America,2015,83.4480756,-0.220203874,1.920995474
Chile,South America,2016,86.378148,-0.220203874,1.920995474
Chile,South America,2017,88.2620568,-0.220203874,1.920995474
Chile,South America,2018,90.142704,-0.220203874,1.920995474
Chile,South America,2019,89.6202504,-0.220203874,1.920995474
Chile,South America,2020,82.5333336,-0.220203874,1.920995474
China,Asia,2015,90.754164,2.935936589,5.4233811
China,Asia,2016,90.5932908,2.935936589,5.4233811
China,Asia,2017,93.5553996,2.935936589,5.4233811
China,Asia,2018,97.593912,2.935936589,5.4233811
China,Asia,2019,101.798802,2.935936589,5.4233811
China,Asia,2020,104.8821696,2.935936589,5.4233811
Colombia,South America,2015,36.932544,-0.382385364,-2.389383793
Colombia,South America,2016,41.1670908,-0.382385364,-2.389383793
Colombia,South America,2017,40.9278024,-0.382385364,-2.389383793
Colombia,South America,2018,40.7960892,-0.382385364,-2.389383793
Colombia,South America,2019,40.3984332,-0.382385364,-2.389383793
Colombia,South America,2020,36.2318004,-0.382385364,-2.389383793
Costa Rica,North America,2015,43.5972564,-1.052487499,-0.84567374
Costa Rica,North America,2016,44.2871856,-1.052487499,-0.84567374
Costa Rica,North America,2017,45.5392188,-1.052487499,-0.84567374
Costa Rica,North America,2018,46.0899504,-1.052487499,-0.84567374
Costa Rica,North America,2019,46.84482,-1.052487499,-0.84567374
Costa Rica,North America,2020,41.3507664,-1.052487499,-0.84567374
Croatia,Europe,2015,77.0118336,0.838714223,7.116511345
Croatia,Europe,2016,80.741088,0.838714223,7.116511345
Croatia,Europe,2017,81.388872,0.838714223,7.116511345
Croatia,Europe,2018,84.9365712,0.838714223,7.116511345
Croatia,Europe,2019,83.5226244,0.838714223,7.116511345
Croatia,Europe,2020,80.2960092,0.838714223,7.116511345
Cyprus,Europe,2015,88.490988,-1.447244215,4.637363434
Cyprus,Europe,2016,95.378598,-1.447244215,4.637363434
Cyprus,Europe,2017,97.0970976,-1.447244215,4.637363434
Cyprus,Europe,2018,95.881572,-1.447244215,4.637363434
Cyprus,Europe,2019,95.1927048,-1.447244215,4.637363434
Cyprus,Europe,2020,82.2702672,-1.447244215,4.637363434
Czechia,Europe,2015,161.0232336,-1.239114194,3.501088619
Czechia,Europe,2016,158.796702,-1.239114194,3.501088619
Czechia,Europe,2017,167.6991384,-1.239114194,3.501088619
Czechia,Europe,2018,167.1144624,-1.239114194,3.501088619
Czechia,Europe,2019,163.279026,-1.239114194,3.501088619
Czechia,Europe,2020,151.291116,-1.239114194,3.501088619
Denmark,Europe,2015,123.5262528,-3.056152361,1.692459464
Denmark,Europe,2016,124.800804,-3.056152361,1.692459464
Denmark,Europe,2017,124.7620788,-3.056152361,1.692459464
Denmark,Europe,2018,122.5521288,-3.056152361,1.692459464
Denmark,Europe,2019,119.3013972,-3.056152361,1.692459464
Denmark,Europe,2020,105.7695192,-3.056152361,1.692459464
Dominican Republic,North America,2015,33.6767112,0.301820756,0.942559779
Dominican Republic,North America,2016,35.4064428,0.301820756,0.942559779
Dominican Republic,North America,2017,34.5289176,0.301820756,0.942559779
Dominican Republic,North America,2018,37.7558388,0.301820756,0.942559779
Dominican Republic,North America,2019,39.9539952,0.301820756,0.942559779
Dominican Republic,North America,2020,34.1880048,0.301820756,0.942559779
Ecuador,South America,2015,41.7986028,-2.225977519,-1.135278344
Ecuador,South America,2016,41.0383656,-2.225977519,-1.135278344
Ecuador,South America,2017,41.9695092,-2.225977519,-1.135278344
Ecuador,South America,2018,43.5605724,-2.225977519,-1.135278344
Ecuador,South America,2019,43.7774472,-2.225977519,-1.135278344
Ecuador,South America,2020,37.3490172,-2.225977519,-1.135278344
Egypt,Africa,2015,35.796744,-1.641052649,-1.748337507
Egypt,Africa,2016,37.0008864,-1.641052649,-1.748337507
Egypt,Africa,2017,37.6979238,-1.641052649,-1.748337507
Egypt,Africa,2018,37.0321884,-1.641052649,-1.748337507
Egypt,Africa,2019,35.7103584,-1.641052649,-1.748337507
Egypt,Africa,2020,32.9543604,-1.641052649,-1.748337507
El Salvador,South America,2015,22.3206192,1.609969279,2.510357857
El Salvador,South America,2016,22.43374092,1.609969279,2.510357857
El Salvador,South America,2017,22.22321148,1.609969279,2.510357857
El Salvador,South America,2018,23.9244336,1.609969279,2.510357857
El Salvador,South America,2019,26.1774738,1.609969279,2.510357857
El Salvador,South America,2020,24.1761888,1.609969279,2.510357857
Estonia,Europe,2015,187.9057692,-3.262948452,6.626666546
Estonia,Europe,2016,193.5872856,-3.262948452,6.626666546
Estonia,Europe,2017,214.44678,-3.262948452,6.626666546
Estonia,Europe,2018,212.039802,-3.262948452,6.626666546
Estonia,Europe,2019,170.2632096,-3.262948452,6.626666546
