Country,Total,Men,Women
Costa Rica,4.7,6.2,3.2
Mexico,7.6,12.0,3.6
Iceland,8.6,8.1,9.1
Brazil,10.1,13.2,7.5
Sweden,10.4,10.5,10.3
United States,10.5,11.5,9.5
India,11.2,20.4,1.9
Norway,12.0,12.0,11.0
Canada,12.0,14.2,10.0
Australia,12.4,14.0,10.8
Colombia,13.0,18.8,7.4
New Zealand,13.1,14.3,11.9
Finland,14.0,15.0,13.0
Luxembourg,14.5,15.7,13.4
Portugal,16.8,23.5,10.9
Netherlands,16.8,19.5,14.1
Denmark,16.9,18.5,15.4
Israel,16.9,21.3,12.8
Ireland,17.0,19.0,15.0
United Kingdom,17.2,19.1,15.5
Estonia,17.2,23.4,12.9
Korea,17.5,31.6,3.5
Japan,17.7,29.4,7.2
